ID_Category;Category
Spo;Sports with a ball
Fas;Fashion
Mod;Modeling
Bea;Beauty
Fam;Family
Mus;Music
Lif;Lifestyle
Cin;Cinema
Act;Actors/actresses
;
Clo;Clothing
Out;Outfits
Fit;Fitness
Gym;Gym
Pho;Photography
Fin;Finance
Eco;Economics
Bus;Business
Car;Careers
Sho;Shows
Art;Art
Art;Artists
Hum;Humor
Fun;Fun
Hap;Happiness
Sci;Science
Lit;Literature
Jou;Journalism
Sho;Shopping
Ret;Retail
Com;Computers
Gad;Gadgets
Rac;Racing
Spo;Sports
Foo;Food
Coo;Cooking
Nat;Nature  landscapes
Man;Management
Mar;Marketing
Mac;Machinery
Tec;Technologies
Adu;Adult content
Com;Comics  sketches
Lux;Luxury
Car;Cars
Mot;Motorbikes
Kid;Kids
Toy;Toys
Tra;Travel
Ani;Animals
Acc;Accessories
Jew;Jewellery
Tra;Trainers
Coa;Coaches
D;D
I;I
Y;Y
Des;Design
Ext;Extreme
Out;Outdoor activity
